Epoch,Train Loss,Val Loss
1,169.36260986328125,449.0010681152344
2,26.02542495727539,24.18183135986328
3,19.761686325073242,307.6100158691406
4,17.582088470458984,22.132396697998047
5,15.97851848602295,13.110393524169922
6,14.640198707580566,15.36754322052002
7,14.433542251586914,13.8037109375
8,14.197816848754883,15.365204811096191
9,12.80827808380127,205.2058563232422
10,12.345152854919434,15.361061096191406
11,11.926106452941895,12.617515563964844
12,11.879810333251953,13.316981315612793
13,10.760619163513184,9.534889221191406
14,11.506772994995117,23.77758026123047
15,9.839658737182617,11.1088285446167
16,9.924453735351562,9.715570449829102
17,10.149078369140625,9.537696838378906
18,9.781231880187988,9.696310997009277
19,9.495706558227539,8.874917030334473
