Epoch,Train Loss,Val Loss,Learning Rate
1,0.050255246460437775,0.044387973845005035,0.005
2,0.04680626839399338,0.034211620688438416,0.005
3,0.03444677218794823,0.024997174739837646,0.005
4,0.0291501022875309,0.023796478286385536,0.005
5,0.027399342507123947,0.022140508517622948,0.005
6,0.026295587420463562,0.021840523928403854,0.005
7,0.025574330240488052,0.02126799337565899,0.005
8,0.025080544874072075,0.02078217826783657,0.005
9,0.024684753268957138,0.02060837857425213,0.005
10,0.024328317493200302,0.019871002063155174,0.005
11,0.024021970108151436,0.019184911623597145,0.005
12,0.023700853809714317,0.019152807071805,0.005
13,0.023497797548770905,0.01900472491979599,0.005
14,0.023273199796676636,0.018651273101568222,0.005
15,0.023068474605679512,0.01813763566315174,0.005
16,0.022908469662070274,0.01777944527566433,0.005
17,0.022771205753087997,0.017959656193852425,0.005
18,0.022633835673332214,0.01789811998605728,0.005
19,0.022486934438347816,0.01754429005086422,0.005
20,0.022418802604079247,0.017662934958934784,0.005
21,0.022305209189653397,0.017993032932281494,0.005
22,0.022283267229795456,0.01770937815308571,0.005
23,0.022116508334875107,0.017209740355610847,0.005
24,0.022049611434340477,0.017473377287387848,0.005
25,0.022029999643564224,0.01720958948135376,0.005
26,0.021926242858171463,0.017427796497941017,0.005
27,0.021877335384488106,0.017440591007471085,0.005
28,0.021836144849658012,0.017356079071760178,0.005
29,0.021792221814393997,0.017255889251828194,0.005
30,0.021794041618704796,0.017282778397202492,0.005
31,0.02169862762093544,0.016986548900604248,0.005
32,0.021638430655002594,0.01680205576121807,0.005
33,0.02165473997592926,0.017044179141521454,0.005
34,0.021627504378557205,0.016759267076849937,0.005
35,0.02156979776918888,0.016803381964564323,0.005
36,0.02153678797185421,0.017167264595627785,0.005
37,0.021546855568885803,0.016811730340123177,0.005
38,0.021521879360079765,0.017011215910315514,0.005
39,0.021466337144374847,0.016789613291621208,0.005
40,0.021479588001966476,0.016945406794548035,0.005
41,0.02140524424612522,0.01741017773747444,0.005
42,0.021475985646247864,0.016815688461065292,0.005
43,0.021392105147242546,0.016836995258927345,0.005
44,0.021350177004933357,0.01691172458231449,0.005
