Epoch,Train Loss,Val Loss,Learning Rate
1,0.029896948486566544,0.015962719917297363,0.001
2,0.016369927674531937,0.01459611114114523,0.001
3,0.015008230693638325,0.014960238710045815,0.001
4,0.014482502825558186,0.013923019170761108,0.001
5,0.014183031395077705,0.013927502557635307,0.001
6,0.013949567452073097,0.014060290530323982,0.001
7,0.013791296631097794,0.013836897909641266,0.001
8,0.01366861816495657,0.013451636768877506,0.001
9,0.013553569093346596,0.013546804897487164,0.001
10,0.013474839739501476,0.013443760573863983,0.001
11,0.013394864276051521,0.013399198651313782,0.001
12,0.013308439403772354,0.013813660480082035,0.001
13,0.013216870836913586,0.013891749083995819,0.001
14,0.013142851181328297,0.01446950901299715,0.001
15,0.013065251521766186,0.013420633971691132,0.001
16,0.012991231866180897,0.013345019891858101,0.001
17,0.01291181892156601,0.013657081872224808,0.001
18,0.012849804945290089,0.013801757246255875,0.001
19,0.012790785171091557,0.013906866312026978,0.001
20,0.012729556299746037,0.013708898797631264,0.001
21,0.012712263502180576,0.013483121059834957,0.001
22,0.0126429982483387,0.014071034267544746,0.001
23,0.012605220079421997,0.014102483168244362,0.001
24,0.01256770733743906,0.013445948250591755,0.001
25,0.012533041648566723,0.013846784830093384,0.001
26,0.012501123361289501,0.014088737778365612,0.001
