Epoch,Train Loss,Val Loss
7,15.317763328552246,9.508540153503418
58,6.185372829437256,7.338648796081543
59,6.295909404754639,6.475803375244141
8,14.1048583984375,20.748897552490234
1,161.50076293945312,32.5052375793457
60,6.546895503997803,6.763998985290527
61,6.029252052307129,8.12169075012207
62,6.585385322570801,10.844498634338379
9,13.50002670288086,11.072955131530762
2,24.3795223236084,17.292724609375
63,5.950565338134766,7.2251691818237305
64,6.402911186218262,6.622058391571045
10,13.438011169433594,13.595288276672363
3,19.274274826049805,19.216550827026367
65,6.584568977355957,6.712558269500732
66,5.989412784576416,7.204402446746826
67,6.0050578117370605,11.272058486938477
11,12.576231002807617,9.691217422485352
4,17.421445846557617,21.809715270996094
68,6.342796325683594,6.111422061920166
69,5.943052768707275,7.3319854736328125
12,12.144224166870117,8.69010066986084
70,6.292352676391602,9.607719421386719
5,15.446990013122559,18.09615135192871
71,5.743563175201416,7.254263877868652
72,6.100905895233154,7.18726921081543
13,11.976261138916016,10.069794654846191
6,16.031024932861328,20.741485595703125
73,6.101673126220703,7.06553840637207
74,6.296634674072266,6.476011753082275
75,5.989375114440918,6.515775203704834
14,11.314123153686523,8.08045768737793
7,13.750594139099121,24.213253021240234
76,5.78959846496582,6.439533233642578
77,6.054346084594727,8.582538604736328
15,11.024664878845215,18.458105087280273
8,14.40761661529541,14.749164581298828
78,5.992290496826172,6.500168323516846
79,5.666407108306885,5.81043815612793
80,5.839378833770752,6.175909519195557
16,11.19899845123291,10.089964866638184
9,12.43928337097168,17.74223518371582
81,5.508913516998291,7.265697002410889
82,5.750649452209473,6.784259796142578
17,10.548075675964355,9.638347625732422
83,5.792453765869141,6.988118648529053
10,11.685489654541016,17.546310424804688
84,5.594231128692627,6.633958339691162
85,5.653783798217773,7.222808837890625
18,9.92331600189209,9.376392364501953
11,12.050704002380371,10.455410957336426
86,5.579193592071533,6.284757614135742
87,5.83233118057251,6.118040084838867
19,9.779253005981445,8.126557350158691
88,5.768061637878418,6.077157974243164
12,11.637733459472656,11.768874168395996
89,6.042845726013184,5.812829971313477
90,5.804023265838623,5.927238941192627
20,9.914976119995117,8.631930351257324
13,11.21287727355957,14.299030303955078
91,5.282273769378662,6.778774261474609
92,5.681260585784912,5.838406562805176
21,9.790701866149902,13.395380973815918
93,5.489588737487793,6.063706874847412
14,10.735237121582031,14.273494720458984
94,5.455536842346191,8.059626579284668
95,5.632371425628662,6.0188117027282715
22,9.27049732208252,8.5237398147583
96,5.836287975311279,6.172544002532959
15,10.563528060913086,11.897088050842285
97,5.428283214569092,5.982259750366211
23,9.052168846130371,8.31537914276123
98,5.390743255615234,7.202527046203613
16,9.925990104675293,13.894705772399902
99,5.5506463050842285,5.926993370056152
24,8.15747356414795,7.719119071960449
17,9.668190956115723,13.633697509765625
25,8.834327697753906,8.346430778503418
18,9.82642650604248,14.43585205078125
26,8.479310035705566,8.855972290039062
19,9.225076675415039,11.772046089172363
27,8.895042419433594,8.03983211517334
20,9.321370124816895,14.534048080444336
28,8.112032890319824,7.8082356452941895
21,9.582635879516602,7.94351053237915
29,9.231395721435547,7.332749843597412
22,9.014314651489258,12.38672924041748
30,8.263714790344238,6.822646141052246
23,8.837416648864746,8.35631275177002
31,8.342596054077148,6.667074680328369
24,8.2125825881958,8.0237455368042
32,8.406327247619629,7.80599308013916
25,8.723830223083496,9.5590238571167
33,7.794216156005859,6.651086330413818
26,8.271759986877441,12.459006309509277
34,8.104135513305664,6.911355495452881
27,8.199236869812012,24.614492416381836
35,7.694737911224365,7.680933475494385
28,8.261079788208008,8.361209869384766
36,7.897701740264893,7.038079261779785
29,7.89093542098999,9.892294883728027
37,7.633688449859619,7.106225490570068
30,7.377837657928467,9.579289436340332
38,7.808290481567383,7.28061056137085
31,7.875864505767822,11.900857925415039
39,6.991628646850586,6.494953632354736
32,7.712937831878662,7.540946960449219
40,7.58959436416626,6.517266273498535
33,7.62666130065918,11.941368103027344
41,6.807219982147217,6.631299018859863
34,7.8958563804626465,10.959665298461914
42,7.382693767547607,7.3086981773376465
35,7.28102445602417,7.719925403594971
43,7.808906078338623,6.2084736824035645
36,7.406983852386475,9.648719787597656
44,7.398179531097412,7.425294876098633
37,7.073363304138184,12.345414161682129
45,7.574692726135254,8.124673843383789
38,7.601815700531006,12.928718566894531
46,7.174587726593018,6.623632907867432
39,7.3079729080200195,7.108577251434326
47,7.037210941314697,7.881443023681641
40,6.976521015167236,7.843921661376953
48,6.860135078430176,6.635956287384033
41,6.728117942810059,8.032569885253906
49,6.867604732513428,7.209427833557129
