Epoch,Train Loss,Val Loss,Learning Rate
1,0.0486871711909771,0.03597412630915642,0.001
2,0.03387811407446861,0.02436695620417595,0.001
3,0.028133975341916084,0.022721989080309868,0.001
4,0.026346499100327492,0.02173684537410736,0.001
5,0.025337008759379387,0.021360378712415695,0.001
6,0.024688465520739555,0.02086341567337513,0.001
7,0.024248819798231125,0.02010849490761757,0.001
8,0.023886673152446747,0.019724221900105476,0.001
9,0.02354491502046585,0.01946427673101425,0.001
10,0.023193921893835068,0.0188907440751791,0.001
11,0.02290903590619564,0.01821991801261902,0.001
12,0.0226218793541193,0.017819445580244064,0.001
13,0.022373417392373085,0.017882090061903,0.001
14,0.02219320274889469,0.01736699976027012,0.001
15,0.02203921228647232,0.01736927218735218,0.001
16,0.021881885826587677,0.017041215673089027,0.001
17,0.021769007667899132,0.016832474619150162,0.001
18,0.02161894552409649,0.016720343381166458,0.001
19,0.021526087075471878,0.0170412790030241,0.001
20,0.021445270627737045,0.016643505543470383,0.001
21,0.021344073116779327,0.016634002327919006,0.001
22,0.021283984184265137,0.016371091827750206,0.001
23,0.021205352619290352,0.01636425592005253,0.001
24,0.021156664937734604,0.016426948830485344,0.001
25,0.021104367449879646,0.01629171147942543,0.001
26,0.02102946676313877,0.0163457952439785,0.001
27,0.02099190093576908,0.01650853641331196,0.001
28,0.020937830209732056,0.016195330768823624,0.001
29,0.020892798900604248,0.01613498665392399,0.001
30,0.020860444754362106,0.016193944960832596,0.001
31,0.02082754857838154,0.016051936894655228,0.001
32,0.020802700892090797,0.016045894473791122,0.001
33,0.020746523514389992,0.01598416268825531,0.001
34,0.020721808075904846,0.015973715111613274,0.001
35,0.020692704245448112,0.01603410206735134,0.001
36,0.020657720044255257,0.016040757298469543,0.001
37,0.020642736926674843,0.015976155176758766,0.001
38,0.02059939131140709,0.016192253679037094,0.001
39,0.02059607207775116,0.015853557735681534,0.001
40,0.020563805475831032,0.015893487259745598,0.001
41,0.020528508350253105,0.015779361128807068,0.001
42,0.020527442917227745,0.015909789130091667,0.001
43,0.020506883040070534,0.01606793701648712,0.001
44,0.02048220857977867,0.015838271006941795,0.001
45,0.020465020090341568,0.01592305488884449,0.001
46,0.020450716838240623,0.01595190353691578,0.001
47,0.020420173183083534,0.01589018478989601,0.001
48,0.020407915115356445,0.01584692858159542,0.001
49,0.020392613485455513,0.015845905989408493,0.001
50,0.020367059856653214,0.0158713236451149,0.001
