Epoch,Train Loss,Val Loss,Learning Rate
1,0.023141885176301003,0.016645506024360657,0.005
2,0.015118212439119816,0.015465055592358112,0.005
3,0.014200606383383274,0.015253462828695774,0.005
4,0.013787736184895039,0.015060787089169025,0.005
5,0.013495695777237415,0.015493080019950867,0.005
6,0.013283928856253624,0.015334361232817173,0.005
7,0.013118675909936428,0.01570011116564274,0.005
8,0.012767099775373936,0.016173582524061203,0.0025
9,0.012656345963478088,0.01570761576294899,0.0025
10,0.012593023478984833,0.015502710826694965,0.0025
11,0.012425029650330544,0.01573883183300495,0.00125
12,0.012369354255497456,0.015291105955839157,0.00125
13,0.012342737056314945,0.015435632318258286,0.00125
14,0.012259582057595253,0.015697546303272247,0.000625
