Epoch,Train Loss,Val Loss,Learning Rate
1,0.016434883698821068,0.01585373654961586,0.005
2,0.011405834928154945,0.017825748771429062,0.005
3,0.010532265529036522,0.017979957163333893,0.005
4,0.009938341565430164,0.02084793895483017,0.005
5,0.009081235155463219,0.02149132452905178,0.0025
6,0.008783550933003426,0.023186523467302322,0.0025
7,0.008550522848963737,0.024134229868650436,0.0025
8,0.00806830171495676,0.025553284212946892,0.00125
9,0.007914761081337929,0.028839269652962685,0.00125
10,0.007792953867465258,0.028372416272759438,0.00125
11,0.007521136663854122,0.03296196460723877,0.000625
