Epoch,Train Loss,Val Loss,LR
1,0.039285656064748764,0.02064974419772625,0.001
2,0.024184539914131165,0.014777280390262604,0.001
3,0.021305078640580177,0.011885156854987144,0.001
4,0.02006564661860466,0.011772393248975277,0.001
5,0.019421802833676338,0.01109117642045021,0.001
6,0.019042981788516045,0.0105608981102705,0.001
7,0.018770884722471237,0.010241299867630005,0.001
8,0.0185561403632164,0.01052479725331068,0.001
9,0.018404817208647728,0.009872154332697392,0.001
10,0.018250970169901848,0.009810753166675568,0.001
11,0.018123580142855644,0.009972588159143925,0.001
12,0.0180454570800066,0.009583672508597374,0.001
13,0.017959745600819588,0.009640514850616455,0.001
14,0.017879797145724297,0.009595218114554882,0.001
15,0.017795424908399582,0.009476251900196075,0.001
16,0.01773107424378395,0.009655272588133812,0.001
17,0.01768774911761284,0.00989056471735239,0.001
18,0.017627432942390442,0.009642647579312325,0.0005
19,0.01739807426929474,0.009370819665491581,0.0005
20,0.017353331670165062,0.009427034296095371,0.0005
21,0.017302045598626137,0.00945928692817688,0.0005
22,0.017278509214520454,0.009146207943558693,0.0005
23,0.01725844293832779,0.009250796400010586,0.0005
24,0.017231570556759834,0.009376048110425472,0.0005
25,0.017197754234075546,0.00936337560415268,0.00025
26,0.01711222715675831,0.009187320247292519,0.00025
27,0.017055124044418335,0.009184137918055058,0.00025
28,0.01706543192267418,0.009333205409348011,0.000125
29,0.01700652949512005,0.009141064248979092,0.000125
30,0.016992641612887383,0.009239365346729755,0.000125
31,0.016978725790977478,0.009180653840303421,0.000125
32,0.016978252679109573,0.009173569269478321,6.25e-05
33,0.0169371347874403,0.009198008105158806,6.25e-05
34,0.0169427078217268,0.009201131761074066,6.25e-05
35,0.01693679764866829,0.009177257306873798,3.125e-05
36,0.016927503049373627,0.009160354733467102,3.125e-05
37,0.016918251290917397,0.009153543971478939,3.125e-05
38,0.016906769946217537,0.009143552742898464,1.5625e-05
39,0.016908982768654823,0.009157158434391022,1.5625e-05
