Epoch,Train Loss,Val Loss,Learning Rate
1,0.034160032868385315,0.023114215582609177,0.005
2,0.020423483103513718,0.018169403076171875,0.005
3,0.018533999100327492,0.015536614693701267,0.005
4,0.017722610384225845,0.015187948010861874,0.005
5,0.01725345477461815,0.015143214724957943,0.005
6,0.0169169120490551,0.014891528524458408,0.005
7,0.0166818555444479,0.014499875716865063,0.005
8,0.016499336808919907,0.014456996694207191,0.005
9,0.016390744596719742,0.01436051819473505,0.005
10,0.01628623716533184,0.01444933656603098,0.005
11,0.016171464696526527,0.014127972535789013,0.005
12,0.016094185411930084,0.014266866259276867,0.005
13,0.016033241525292397,0.014105447567999363,0.005
14,0.01594957895576954,0.014355127699673176,0.005
15,0.01587672531604767,0.01407470740377903,0.005
16,0.01588566228747368,0.014016280882060528,0.005
17,0.01580878533422947,0.014175194315612316,0.005
18,0.015761692076921463,0.014109102077782154,0.005
19,0.01571660116314888,0.014217928051948547,0.005
20,0.01550349872559309,0.014013539999723434,0.0025
21,0.015457888133823872,0.013899607583880424,0.0025
22,0.01541902869939804,0.013818450272083282,0.0025
23,0.015388076193630695,0.014022912830114365,0.0025
24,0.0153857646510005,0.013867182657122612,0.0025
25,0.015369062311947346,0.013899281620979309,0.0025
26,0.015266659669578075,0.013833005912601948,0.00125
27,0.015232061967253685,0.013780122622847557,0.00125
28,0.015242841094732285,0.01374552771449089,0.00125
29,0.01520559936761856,0.01377810537815094,0.00125
30,0.01519690826535225,0.013867220841348171,0.00125
31,0.015184937044978142,0.013965493068099022,0.00125
32,0.01513050775974989,0.01383046805858612,0.000625
33,0.015124985948204994,0.013860448263585567,0.000625
34,0.015137264505028725,0.013829805888235569,0.000625
35,0.015102740377187729,0.013873351737856865,0.0003125
36,0.01509780716150999,0.0137591902166605,0.0003125
37,0.015090296976268291,0.013788187876343727,0.0003125
38,0.015074362978339195,0.0137843182310462,0.00015625
