Epoch,Train Loss,Val Loss,Learning Rate
1,0.021870462223887444,0.015187627635896206,0.005
2,0.015244284644722939,0.015642788261175156,0.005
3,0.014435897581279278,0.014900234527885914,0.005
4,0.014019221067428589,0.014077384024858475,0.005
5,0.013813070021569729,0.014361407607793808,0.005
6,0.013651910237967968,0.0156874917447567,0.005
7,0.013535508885979652,0.015266516245901585,0.005
8,0.013257738202810287,0.014253782108426094,0.0025
9,0.013199400156736374,0.013658802025020123,0.0025
10,0.013165236450731754,0.014343002811074257,0.0025
11,0.013124552555382252,0.0140251275151968,0.0025
12,0.013097517192363739,0.013714991509914398,0.0025
13,0.012963459827005863,0.014207212254405022,0.00125
14,0.012934518046677113,0.014469838701188564,0.00125
15,0.012914466671645641,0.014247610233724117,0.00125
16,0.012845742516219616,0.014262781478464603,0.000625
17,0.012831269763410091,0.013825052417814732,0.000625
18,0.012834468856453896,0.013928021304309368,0.000625
19,0.012786876410245895,0.01419268362224102,0.0003125
