Epoch,Train Loss,Val Loss,LR
1,0.033272549510002136,0.028090089559555054,0.001
2,0.02119678258895874,0.02440260909497738,0.001
3,0.01899551786482334,0.022544264793395996,0.001
4,0.018182717263698578,0.023404670879244804,0.001
5,0.017716314643621445,0.02305726893246174,0.001
6,0.017427118495106697,0.021429015323519707,0.001
7,0.017194529995322227,0.021737078204751015,0.001
8,0.01702464371919632,0.02341626025736332,0.001
9,0.01688964292407036,0.02432939037680626,0.0005
10,0.016547827050089836,0.02150927484035492,0.0005
11,0.016437562182545662,0.02339312992990017,0.0005
12,0.01638488844037056,0.024578500539064407,0.00025
13,0.016236761584877968,0.022742707282304764,0.00025
14,0.016173167154192924,0.022587353363633156,0.00025
15,0.01613571122288704,0.023906294256448746,0.000125
16,0.016081376001238823,0.023607460781931877,0.000125
