Epoch,Train Loss,Val Loss,Learning Rate
1,0.032415423542261124,0.020452098920941353,0.005
2,0.020408378913998604,0.017942946404218674,0.005
3,0.018616346642374992,0.015388366766273975,0.005
4,0.017806576564908028,0.015252524986863136,0.005
5,0.01731654442846775,0.01499339658766985,0.005
6,0.01703965850174427,0.014778350479900837,0.005
7,0.016762932762503624,0.01467424351722002,0.005
8,0.016565313562750816,0.014648955315351486,0.005
9,0.01639537885785103,0.0145974550396204,0.005
10,0.016289763152599335,0.014588293619453907,0.005
11,0.016188044100999832,0.01428444404155016,0.005
12,0.016107851639389992,0.014489417895674706,0.005
13,0.016018573194742203,0.013858545571565628,0.005
14,0.015953710302710533,0.014279418624937534,0.005
15,0.015903649851679802,0.014286277815699577,0.005
16,0.0158382635563612,0.014000684022903442,0.005
17,0.015600797720253468,0.013914686627686024,0.0025
18,0.01554009411484003,0.014098930172622204,0.0025
19,0.015515911392867565,0.013902721926569939,0.0025
20,0.015388211235404015,0.013890191912651062,0.00125
21,0.015360711142420769,0.013905930332839489,0.00125
22,0.015335879288613796,0.013831441290676594,0.00125
23,0.015333706513047218,0.013775662519037724,0.00125
24,0.015314692631363869,0.013711662963032722,0.00125
25,0.01530438382178545,0.013817117549479008,0.00125
26,0.015290118753910065,0.013865944929420948,0.00125
