Epoch,Train Loss,Val Loss,Learning Rate
1,0.047646138817071915,0.050117217004299164,0.005
2,0.04181615635752678,0.047257207334041595,0.005
3,0.03945312276482582,0.03820241242647171,0.005
4,0.033394940197467804,0.027755632996559143,0.005
5,0.02913963422179222,0.026079803705215454,0.005
6,0.02699606493115425,0.02653818391263485,0.005
7,0.025803692638874054,0.026908375322818756,0.005
8,0.025038639083504677,0.024486590176820755,0.005
9,0.02444610930979252,0.026370171457529068,0.005
10,0.023988276720046997,0.024373894557356834,0.005
