Epoch,Train Loss,Val Loss,Learning Rate
1,0.04893708601593971,0.050404954701662064,0.005
2,0.04260881617665291,0.05031261593103409,0.005
3,0.04125067591667175,0.05022693797945976,0.005
4,0.040200941264629364,0.045442573726177216,0.005
5,0.03496932238340378,0.030128464102745056,0.005
6,0.027716059237718582,0.02569315768778324,0.005
7,0.025771917775273323,0.02527667209506035,0.005
8,0.024899963289499283,0.0257654320448637,0.005
9,0.02429564855992794,0.024050969630479813,0.005
10,0.023896802216768265,0.023509783670306206,0.005
